"gameid","period","possessionnumber","eventnum","x","y","value","playerid","made","time","margin","shotquality","blocked","blockplayerid","assisted","assistplayerid","putback","shottype","oreboundedshoteventnum","oreboundedrebeventnum","lineupid","opplineupid","and1","wide_open","pass_from_x","pass_from_y","pass_from_player_id","catch_and_shoot","seconds_remaining_on_shot_clock"
"0021900100",4,31,626,-237,48,3,1627936,False,215,10,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1626188-1627936-203076-2544-2730","1628374-1628976-203107-203490-203897",False,"true","-117","210","2544","true","7"
"0021900100",4,35,634,-230,0,3,203076,True,161,10,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1626188-1627936-203076-2544-2730","1628374-1628976-203107-203490-203897",False,"true","60","50","2544","true","6"
"0021900139",4,3,509,231,63,3,1628398,True,650,-4,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1627936-1628398-203584-2544-2730","1626178-1627783-1628449-1629056-1629744",False,"true","31","60","2544","true","6"
"0021900139",1,21,52,228,103,3,201980,False,448,7,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1626181-1627783-1627832-1628384-201188",False,"false","5","250","2544","true","19"
"0021900139",2,18,222,232,17,3,203584,True,491,1,NULL,NULL,0,True,2544,False,"Corner3",NULL,NULL,"1627936-1628398-203584-2544-2730","1627832-1628384-1628449-1629744-201188",False,"false","7","60","2544","true","13"
"0021900139",2,26,246,226,4,3,1627936,False,349,6,NULL,False,0,NULL,0,False,"Corner3",NULL,NULL,"1627936-1628398-203584-2544-2730","1626181-1627783-1627832-1628384-201188",False,"false","-3","150","2544","true","12"
"0021900139",3,28,420,195,149,3,203076,True,290,0,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"201580-201980-202340-203076-2544","1626181-1627783-1627832-1628384-201188",False,"false","2","220","2544","true","13"
"0021900139",3,30,429,13,264,3,203076,False,248,3,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1628398-201980-202340-203076-2544","1626181-1627783-1627832-1628384-201188",False,"false","11","230","2544","true","16"
"0021900139",4,9,529,-161,254,3,1628398,False,563,-8,NULL,False,0,NULL,0,False,"Arc3",NULL,NULL,"1627936-1628398-203584-2544-2730","1626178-1627783-1628449-1629056-1629744",False,"false","0","240","2544","true","10"
"0021900139",4,35,620,-155,230,3,1628398,True,180,-9,NULL,NULL,0,True,2544,False,"Arc3",NULL,NULL,"1628398-201980-202340-203076-2544","1626178-1627783-1627832-1628449-1629056",False,"false","-60","130","2544","true","15"
