game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0041900121,1629680,1610612755,1610612738,32.68,58,59,1,0,0,0,0,0,1,1,0,0,19,11,1,0,0,2,1,2,2,1,1,2,23,13,0.6,1.54,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,5,0,13204,2.5,1.26,1.24,4.3,4.34,4.25
0041900121,1629684,1610612738,1610612755,2.17,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0.1,1.7,1.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,970,0.18,0.08,0.1,5.14,5.5,4.83
0041900122,201143,1610612755,1610612738,23.17,44,43,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,1,1,1,23,11,0.6,1.46,0.13,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,1,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,6,1,9093,1.72,0.95,0.77,4.2,4.75,4.11
0041900122,202683,1610612738,1610612755,21.68,40,40,0,0,0,0,0,0,0,0,0,0,8,8,1,0,0,1,1,3,0,0,4,6,17,12,0.4,1.24,0.24,0,0,0,0,0,0,0,0,0,0,6,3,4,1,4,7,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,3,1,7,0,5,0,5,7,0,7640,1.45,0.77,0.68,3.66,4.4,3.49
0041900122,202689,1610612738,1610612755,25.8,52,51,10,3,5,4,4,11,3,0,0,2,37,45,2,0,0,6,2,6,1,0,1,1,57,17,5.1,5.38,4.95,1,1,1,0,0,2,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,2,6,2,10346,1.96,1.1,0.86,4.4,5.02,3.82
0041900122,202692,1610612755,1610612738,15.8,31,31,5,0,3,0,0,0,1,1,1,0,24,22,2,0,1,3,3,5,0,0,1,2,35,12,2.2,3.85,3.63,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,1,0,1,3,0,6238,1.18,0.62,0.56,4.31,4.23,4.39
0041900122,202699,1610612755,1610612738,35.45,69,69,9,1,5,4,6,6,1,0,0,3,40,31,2,1,1,5,4,6,0,0,2,3,59,27,2.8,2.83,1.97,1,0,0,0,0,0,1,0,0,0,7,1,4,1,2,3,2,0,0,1,6,1,3,1,2,3,2,0,0,1,3,3,1,12,0,7,2,5,13,2,13654,2.59,1.45,1.14,4.16,4.27,3.71
0041900122,202954,1610612738,1610612755,22.83,44,45,2,1,1,0,0,2,1,1,0,0,31,30,4,1,1,6,6,11,0,2,2,4,38,11,2.4,3.85,3.79,2,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,8495,1.61,0.92,0.69,4.0,4.52,3.47
0041900122,203118,1610612755,1610612738,5.65,13,13,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,8,5,0.3,2.41,2.13,1,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2200,0.42,0.21,0.21,3.93,4.22,3.68
0041900122,203124,1610612755,1610612738,5.65,13,13,0,0,0,0,0,0,0,0,0,0,13,9,1,1,0,2,2,5,0,0,0,1,14,9,0.4,1.71,0.43,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1978,0.37,0.18,0.19,3.93,4.22,3.67
